SOURCE_IMAGE,LABEL,TRACK_ID,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Source Image,Label,Track ID,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Source Image,Label,Track ID,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TIME,TIME,TIME,LENGTH,POSITION,POSITION,POSITION,VELOCITY,VELOCITY,VELOCITY,VELOCITY,VELOCITY,QUALITY,LENGTH,LENGTH,NONE,VELOCITY,NONE,ANGLE_RATE
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,Track_3,3,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2400.078125,0.0,2400.078125,3.6643677671797055,119.60747073252458,48.41226831435157,0.0,0.0015267702034406506,0.0015267702034406506,0.0015267702034406506,0.0015267702034406506,NaN,5195.5,3.6643677671797055,3.6643677671797055,1.0,0.0015267702034406506,1.0,NaN
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,Track_8,8,1.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,52801.71875,0.0,52801.71875,77.36025265977503,124.58218561731907,70.33298158186258,0.0,0.0027572289415319865,0.01116211465136468,1.4782578314569982E-4,0.0014563530463004156,0.0035813084899244335,4287.217391304348,145.58642710013217,85.21950765272304,0.5313699511738673,0.0014651086080370258,0.5313699511738674,5.861412445148172E-4
20250724_20250724_Position005_20250724_20250724_Position005_corrected_xyz,Track_1,1,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,52801.5576171875,0.0,52801.5576171875,87.36785776684434,139.7259529879517,63.71887896135445,0.0,0.0047022217472142015,0.02877098250630379,1.4941010857095823E-4,0.0034054933310018595,0.0061777789383999,3377.0434782608695,248.28463251432282,103.23983199475683,0.3518858854939576,0.0016546454633074143,0.3518858854939577,7.147381872740816E-4
20250724_20250724_Position007_20250724_20250724_Position007_corrected_xyz,Track_0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,52801.4716796875,0.0,52801.4716796875,56.082344378541926,183.7199371326532,75.56140679888733,0.0,0.0036091550528680036,0.009153237084105835,2.1905879690232134E-4,0.0037985859927958635,0.0024843730734052365,4145.739130434783,190.56869831161094,56.082344378541926,0.29428938160052986,0.0010621360086089525,0.29428938160052986,4.8639599487759993E-4
20250724_20250724_Position007_20250724_20250724_Position007_corrected_xyz,Track_2,2,1.0,2.0,19.0,1.0,0.0,0.0,0.0,1.0,45601.27099609375,0.0,45601.27099609375,38.042565555939056,256.9138146787108,67.05283018772627,0.0,0.005400432990435768,0.014065459729202381,1.9120922160086788E-4,0.005280356661816993,0.0031505598871275635,2690.315789473684,235.44061988602945,56.35356818267532,0.16158029814207273,8.342435358698186E-4,0.15447715717374402,5.149019647153473E-4
20250724_20250724_Position007_20250724_20250724_Position007_corrected_xyz,Track_7,7,2.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,36001.00341796875,7200.20068359375,43201.2041015625,15.597596458051724,232.8686481088566,45.03518501005646,0.0,0.005652801111442071,0.011846913726357674,0.0012514223405862078,0.005279318797728382,0.0032328307775271324,4257.0625,203.50651213412354,74.35746463030907,0.07664421297620162,4.332544922974753E-4,0.07664421297620162,4.1918487130062157E-4
20250724_20250724_Position007_20250724_20250724_Position007_corrected_xyz,Track_44,44,3.0,44.0,9.0,0.0,0.0,0.0,0.0,0.0,19200.53515625,0.0,19200.53515625,13.117598597144545,36.38009115673569,88.53302799667753,0.0,0.0033392405588330977,0.008181100633959566,6.087072825698856E-4,0.0037088640674145237,0.0025481697267991502,3746.8888888888887,64.11520574505079,22.302305080740062,0.2045941901723855,6.831892179252416E-4,0.2045941901723855,6.292193965268896E-4
20250724_20250724_Position007_20250724_20250724_Position007_corrected_xyz,Track_45,45,4.0,45.0,23.0,1.0,0.0,1.0,0.0,1.0,52801.4716796875,0.0,52801.4716796875,15.195556316249133,105.53417460239561,66.56978672711813,0.0,0.002320372246082332,0.006032121864529883,0.0,0.0020364795450962003,0.001975461387218486,1120.1304347826087,122.66111501345617,28.98652918570602,0.12388242447153812,2.8778660580581507E-4,0.12402605068721537,6.992412975511774E-4
20250724_20250724_Position007_20250724_20250724_Position007_corrected_xyz,Track_47,47,5.0,47.0,23.0,0.0,0.0,0.0,0.0,0.0,52801.4716796875,0.0,52801.4716796875,36.917820240929075,72.98377733966386,85.40575861150808,0.0,0.0023263065515794204,0.008900626280568855,0.0,0.0017747494689448339,0.002409552459059238,1697.7391304347825,122.83240950149228,38.687126121222796,0.3005543926945483,6.991816528313017E-4,0.30055439269454837,5.850096387104221E-4
20250724_20250724_Position008_20250724_20250724_Position008_corrected_xyz,Track_18,18,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,7200.19775390625,0.0,7200.19775390625,6.935546229730308,30.539781403346993,67.8977851401578,0.0,9.632438534021703E-4,0.002889731560206511,0.0,0.0,0.0016683872941709863,-1.0,6.935546229730308,6.935546229730308,1.0,9.632438534021703E-4,1.0,0.0
20250724_20250724_Position008_20250724_20250724_Position008_corrected_xyz,Track_19,19,1.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,7200.19775390625,0.0,7200.19775390625,36.365109964613325,32.231602996697816,76.87887094006435,0.0,0.005059721545747111,0.009673818640000682,0.0021825980368180087,0.0033227479604226434,0.004036385073115961,721.0,36.43099570907941,36.365109964613325,0.9981914920747097,0.0050505709992318655,0.9981914920747097,3.117611897027582E-5
20250724_20250724_Position008_20250724_20250724_Position008_corrected_xyz,Track_20,20,2.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,43201.1865234375,9600.263671875,52801.4501953125,187.7771401828346,123.55356750226338,56.02122323256324,0.0,0.005067587480888982,0.025961653308201934,2.4084792271874522E-4,0.003105763389427373,0.006350548386185374,3232.0526315789475,218.92579198572167,189.18777041870638,0.8577205019090733,0.004346573677576234,0.8577205019090732,5.782175105593729E-4
20250724_20250724_Position008_20250724_20250724_Position008_corrected_xyz,Track_22,22,3.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,52801.4501953125,0.0,52801.4501953125,67.46162515502097,128.1924627814837,36.46749801445221,0.0,0.003346156513493243,0.009429537777157895,1.183679946753321E-4,0.003054517009102908,0.0029004162541208297,2553.1739130434785,176.681916492934,76.27071682609204,0.3818252965221766,0.0012776472029741703,0.3818252965221766,6.637944442533641E-4
20251017_20251017_Position005-good_20251017_20251017_Position005-good_corrected_xyz,Track_1,1,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,16200.61083984375,0.0,16200.61083984375,103.13866967248198,197.74545859174117,61.21477616755105,0.0,0.011665047672668759,0.015828706465467753,0.004519345552241325,0.011530758189136802,0.004152790534896593,2403.5,188.9808977731316,103.13866967248198,0.545762407141796,0.006366344497259507,0.545762407141796,7.305508859208116E-4
20251017_20251017_Position005-good_20251017_20251017_Position005-good_corrected_xyz,Track_3,3,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3600.1357421875,0.0,3600.1357421875,4.182026618485524,3.9862075745106758,51.38952815502617,0.0,0.0014552357294619809,0.0018086077673412876,0.0011018636915826742,0.0018086077673412876,4.997435285323346E-4,1305.3333333333333,5.239046162944376,4.182026618485524,0.7982419868839634,0.0011616302600702655,0.7982419868839634,7.443249316123379E-4
20251017_20251017_Position005-good_20251017_20251017_Position005-good_corrected_xyz,Track_25,25,2.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,46801.7646484375,0.0,46801.7646484375,81.31072844693418,90.13649614201807,54.81498513647684,0.0,0.005631242941068323,0.018297617780781907,5.358842675327913E-4,0.004997352267014667,0.0038516972288448713,3924.6296296296296,263.55210680605467,97.5586145167356,0.3085186054185859,0.001737343218951655,0.3085186054185859,5.620641716674272E-4
20251017_20251017_Position008_20251017_20251017_Position008_corrected_xyz,Track_3,3,0.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,57602.3203125,0.0,57602.3203125,49.71341433313483,125.63039288989465,80.85492635235974,0.0,0.004412804460739585,0.020007942252757,3.088768416599045E-4,0.0023188486177494637,0.00565718919842464,3530.878787878788,254.18777602395033,73.79814325704336,0.1955775179702217,8.630453437193704E-4,0.19557751797022163,8.98427218838856E-4
20251017_20251017_Position008_20251017_20251017_Position008_corrected_xyz,Track_6,6,1.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,45001.812744140625,12600.507568359375,57602.3203125,74.95297463759161,229.5657345281498,59.812466383991605,0.0,0.004529382922535991,0.013927092348990821,0.0,0.0039495266564167865,0.0038894331462014215,1956.1153846153845,203.83044212647312,83.16404290733361,0.36772218053221234,0.0016655545647402997,0.36772218053221245,8.63282930097443E-4
20251017_20251017_Position008_20251017_20251017_Position008_corrected_xyz,Track_13,13,2.0,13.0,21.0,2.0,0.0,0.0,0.0,1.0,39601.59521484375,0.0,39601.59521484375,10.936064635716106,19.462817795834457,73.18880996854985,0.0,0.0036958627863257604,0.012634639143024137,4.990771455137893E-4,0.0022319397307999276,0.00352802614973191,1371.6666666666667,139.24601878999366,23.81234628008822,0.0785377185699616,2.761521240845614E-4,0.07471925773497069,9.759047578204666E-4
20251017_20251017_Position008_20251017_20251017_Position008_corrected_xyz,Track_14,14,3.0,14.0,27.0,0.0,0.0,0.0,0.0,0.0,46801.88525390625,9000.362548828125,55802.247802734375,205.98708473829788,143.0311247986132,66.60575275092731,0.0,0.007142603791876532,0.030170426108049504,3.15643940182794E-4,0.005370563636280772,0.007608593137172831,1154.8148148148148,334.28732308152115,231.80659503993118,0.6161977153051201,0.004401256137884007,0.6161977153051201,7.570924056600143E-4
20251017_20251017_Position008_20251017_20251017_Position008_corrected_xyz,Track_27,27,4.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,57602.3203125,0.0,57602.3203125,82.49848104453741,138.12006973911363,61.05231605631216,0.0,0.003510773134379191,0.024151607320142134,2.308767649898614E-4,0.0018015868334492848,0.005472308518544084,2534.969696969697,202.22867863102977,90.60518799800506,0.40794649702012603,0.0014322076020023592,0.40794649702012603,0.001057269359241399
20251017_20251017_Position008_20251017_20251017_Position008_corrected_xyz,Track_29,29,5.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,23400.942626953125,34201.377685546875,57602.3203125,84.06944881935358,57.91291413702068,73.53163218407698,0.0,0.004043094750821542,0.008140417735363937,7.552793259262685E-4,0.0043512689274411735,0.0020241206395578168,3611.4285714285716,94.61222829931025,84.06944881935358,0.8885685321076671,0.0035925667679097117,0.8885685321076672,3.1385686736918624E-4
20251017_20251017_Position009_20251017_20251017_Position009_corrected_xyz,Track_0,0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,30601.232666015625,0.0,30601.232666015625,175.95904055077364,104.75810895679555,43.143765252173516,0.0,0.009694713710569104,0.03976576978290259,0.0013391642037068132,0.005791547395581283,0.01014124995369526,1216.0,296.67018988753676,175.95904055077364,0.5931133175782747,0.005750063811847225,0.5931133175782746,6.240345933775653E-4
20251017_20251017_Position009_20251017_20251017_Position009_corrected_xyz,Track_3,3,1.0,3.0,9.0,1.0,0.0,0.0,0.0,4.0,21600.8701171875,0.0,21600.8701171875,35.7839401440177,132.30396721656277,23.585644278516558,0.0,0.004394971433744504,0.012219313741403778,6.974158269364781E-4,0.005241759584341924,0.00393726288771475,929.6666666666666,68.31173430448484,37.36633621418175,0.5238329916280341,0.0016565971625163809,0.3769301319678805,6.645271636036233E-4
20251017_20251017_Position009_20251017_20251017_Position009_corrected_xyz,Track_13,13,2.0,13.0,33.0,0.0,0.0,0.0,0.0,0.0,57602.3203125,0.0,57602.3203125,21.66438440629493,69.82136416128492,97.7791663492616,0.0,0.005400371528727541,0.015927530072892358,3.12919255060585E-4,0.004414743044653989,0.0035164995192779745,4388.333333333333,311.073930604269,48.44433305330777,0.06964384435626385,3.7610263421269935E-4,0.06964384435626382,7.902635270384252E-4
20251017_20251017_Position009_20251017_20251017_Position009_corrected_xyz,Track_14,14,3.0,14.0,13.0,1.0,0.0,0.0,0.0,1.0,23400.942626953125,0.0,23400.942626953125,8.139882840025319,16.40143243657439,85.8161266898681,0.0,0.0019148217987416567,0.0068581087169786335,0.0,0.0013681843658192839,0.0022147967570042906,1157.5384615384614,42.54756257005896,15.754786846160112,0.19131255348933704,3.4784422874700055E-4,0.18165879925515246,6.692579801864451E-4
20251017_20251017_Position010_20251017_20251017_Position010_corrected_xyz,Track_0,0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,41401.959716796875,0.0,41401.959716796875,19.435756170568972,135.0684209677212,75.33960890981001,0.0,0.0039393271449232005,0.020177090391758745,4.4786290540861645E-4,0.002819799511565984,0.0043485440857196946,5065.958333333333,163.0958637653948,36.74092276682873,0.11916768286978957,4.6944048792656157E-4,0.11916768286978958,8.361738431865267E-4
20251017_20251017_Position010_20251017_20251017_Position010_corrected_xyz,Track_18,18,1.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,1800.085205078125,0.0,1800.085205078125,7.392362059631945,70.99677800611067,71.34744487272138,0.0,0.004106673416779241,0.004106673416779241,0.004106673416779241,0.004106673416779241,NaN,2990.5,7.392362059631945,7.392362059631945,1.0,0.004106673416779241,1.0,NaN
20251024_20251024_Position006_20251024_20251024_Position006_corrected_xyz,Track_7,7,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,52800.8701171875,0.0,52800.8701171875,227.40931092543758,176.1819886995546,64.51823510395378,0.0,0.009325556531066528,0.022817585236547856,4.0893400615230784E-4,0.007851709455719919,0.007073273872679104,3655.1304347826085,492.39749916733325,227.40931092543758,0.46184091371300046,0.004306923549190003,0.46184091371300035,2.905062456161822E-4
20251024_20251024_Position006_20251024_20251024_Position006_corrected_xyz,Track_9,9,1.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,50400.83056640625,0.0,50400.83056640625,59.32483718573539,99.72526812829005,51.684039635140714,0.0,0.006681319915191819,0.015678894789251996,3.0614500026607754E-4,0.004563326971338002,0.005200571221974928,3792.6363636363635,336.74407300553867,61.85541704089714,0.17617188227321712,0.0011770607055288742,0.17617188227321715,6.66164276617755E-4
